,genome_id,genome_name,taxon_id,genome_status,genome_length,gc_content,contig_l50,contig_n50,chromosomes,plasmids,contigs,patric_cds,refseq_cds,trna,rrnacoarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_qualitydate_created,date_modified
285804,562.22559,Escherichia coli O1:H7 strain ECO0135,562,WGS,5188414,50.53,9.0,173947.0,,,109,5295.0,,72.0,,99.1,100.0,0.0,,2017-11-29T17:34:27.478Z
285805,562.22573,Escherichia coli O1:H7 strain ECO0148,562,WGS,5037222,50.53,7.0,203770.0,,,61,5026.0,,68.0,,98.9,99.6,0.0,,2017-11-29T17:43:53.263Z
285806,562.22585,Escherichia coli O1:H7 strain ECO0160,562,WGS,4927590,50.57,10.0,173655.0,,,93,4940.0,,65.0,,98.9,100.0,0.0,,2017-11-29T17:45:25.711Z
285807,562.22604,Escherichia coli O1:H7 strain ECO0180,562,WGS,5126601,50.52,8.0,175991.0,,,87,5175.0,,65.0,,99.1,100.0,0.0,,2017-11-29T17:53:18.924Z
285808,562.22709,Escherichia coli O1:H7 strain ECO0194,562,WGS,4988598,50.51,8.0,189204.0,,,101,5006.0,,64.0,,98.8,100.0,0.1,,2017-11-29T17:59:33.009Z
285809,562.22711,Escherichia coli O1:H7 strain ECO0196,562,WGS,5108404,50.56,8.0,203861.0,,,98,5153.0,,64.0,,99.0,100.0,0.0,,2017-11-29T17:59:41.307Z
285810,562.22629,Escherichia coli O1:H7 strain ECO0215,562,WGS,4989429,50.49,9.0,185986.0,,,82,4981.0,,64.0,,99.2,100.0,0.4,,2017-11-29T17:53:05.869Z
285811,562.22649,Escherichia coli O1:H7 strain ECO0236,562,WGS,5015518,50.52,9.0,185986.0,,,101,5056.0,,59.0,,98.8,100.0,0.0,,2017-11-29T17:55:18.303Z
285812,562.22659,Escherichia coli O1:H7 strain ECO0247,562,WGS,5244127,50.4,26.0,51656.0,,,210,5449.0,,66.0,,97.0,100.0,0.4,,2017-11-29T17:56:26.318Z
285813,562.22666,Escherichia coli O1:H7 strain ECO0254,562,WGS,5016609,50.56,16.0,97096.0,,,132,5040.0,,66.0,,98.7,100.0,0.7,,2017-11-29T17:56:23.934Z
285814,562.22668,Escherichia coli O1:H7 strain ECO0256,562,WGS,5092702,50.51,9.0,173681.0,,,104,5172.0,,68.0,,98.9,100.0,0.0,,2017-11-29T17:58:19.777Z
285815,562.22705,Escherichia coli O1:H7 strain ECO0295,562,WGS,4944090,50.51,9.0,176141.0,,,100,4937.0,,66.0,,98.8,100.0,0.0,,2017-11-29T17:59:22.007Z
285816,562.22723,Escherichia coli O1:H7 strain ECO0310,562,WGS,5192969,50.64,7.0,253550.0,,,67,5235.0,,65.0,,98.9,99.6,0.0,,2017-11-29T18:00:20Z
285817,562.22729,Escherichia coli O1:H7 strain ECO0316,562,WGS,5191330,50.53,9.0,185897.0,,,91,5267.0,,65.0,,99.1,99.6,0.0,,2017-11-29T18:00:47.918Z
285818,562.22732,Escherichia coli O1:H7 strain ECO0320,562,WGS,5074461,50.54,7.0,203769.0,,,61,5076.0,,65.0,,99.0,99.6,0.0,,2017-11-29T18:02:15.568Z
285819,562.22736,Escherichia coli O1:H7 strain ECO0326,562,WGS,5010106,50.53,8.0,189437.0,,,84,5032.0,,72.0,,99.0,100.0,0.0,,2017-11-29T17:59:50.380Z
285820,562.22803,Escherichia coli O1:H7 strain ECO0401,562,WGS,5068103,50.5,8.0,185898.0,,,74,5085.0,,68.0,,98.9,99.6,0.4,,2017-11-29T18:04:00.317Z
285821,562.22804,Escherichia coli O1:H7 strain ECO0402,562,WGS,5031050,50.52,8.0,189194.0,,,62,5029.0,,63.0,,98.9,99.6,0.0,,2017-11-29T18:04:21.993Z
285912,562.22817,Escherichia coli O21:H1 strain ECO0416,562,WGS,4912406,50.54,9.0,185665.0,,,76,4806.0,,70.0,,99.0,100.0,0.0,,2017-11-29T18:04:38.068Z
285914,562.22633,Escherichia coli O21:H27 strain ECO0219,562,WGS,4759404,50.48,13.0,128538.0,,,89,4749.0,,63.0,,98.9,100.0,0.4,,2017-11-29T17:54:11.131Z
285915,562.2272,Escherichia coli O21:H38 strain ECO0307,562,WGS,4622809,50.74,21.0,81414.0,,,116,4531.0,,70.0,,98.9,99.3,0.4,,2017-11-29T18:00:06.606Z
285916,562.22495,Escherichia coli O21:H4 strain ECO0068,562,WGS,5399247,50.67,17.0,117051.0,,,209,5673.0,,70.0,,98.2,100.0,2.4,,2017-11-29T17:25:27.242Z
285924,562.22746,Escherichia coli O21:H52 strain ECO0336,562,WGS,4815057,50.66,25.0,67760.0,,,180,4891.0,,68.0,,98.3,100.0,0.4,,2017-11-29T18:00:22.862Z
285926,562.2254,Escherichia coli O22:H1 strain ECO0115,562,WGS,5073068,50.59,10.0,186497.0,,,78,5009.0,,65.0,,98.7,100.0,0.0,,2017-11-29T17:33:32.074Z
285927,562.22663,Escherichia coli O22:H1 strain ECO0249,562,WGS,5058985,50.48,9.0,186575.0,,,109,5002.0,,68.0,,98.7,100.0,0.0,,2017-11-29T17:58:32.614Z
285938,562.22664,Escherichia coli O22:H5 strain ECO0252,562,WGS,5035954,50.39,11.0,134396.0,,,93,4972.0,,64.0,,99.0,100.0,0.0,,2017-11-29T17:56:29.404Z
285941,562.2246,Escherichia coli O23:H16 strain ECO0033,562,WGS,4957680,50.55,15.0,107272.0,,,124,4980.0,,68.0,,98.4,100.0,0.4,,2017-11-29T17:04:13.220Z
285942,562.22476,Escherichia coli O23:H16 strain ECO0049,562,WGS,4865874,50.63,16.0,111973.0,,,114,4806.0,,66.0,,98.7,100.0,0.0,,2017-11-29T16:58:39.397Z
285943,562.22651,Escherichia coli O23:H16 strain ECO0238,562,WGS,5003462,50.56,18.0,92287.0,,,132,5051.0,,73.0,,98.2,100.0,0.4,,2017-11-29T17:56:10.329Z
285947,562.22607,Escherichia coli O24:H4 strain ECO0183,562,WGS,5021939,50.73,12.0,131784.0,,,122,5024.0,,76.0,,98.8,100.0,0.0,,2017-11-29T17:53:41.037Z
285956,562.22439,Escherichia coli O25:H1 strain ECO0011,562,WGS,5049324,50.5,10.0,179148.0,,,89,5007.0,,68.0,,99.0,100.0,0.4,,2017-11-29T17:04:02.254Z
285957,562.22568,Escherichia coli O25:H1 strain ECO0143,562,WGS,5072339,50.57,8.0,202447.0,,,88,5061.0,,74.0,,99.0,100.0,0.4,,2017-11-29T17:38:15.291Z
285958,562.22682,Escherichia coli O25:H1 strain ECO0274,562,WGS,5165437,50.48,10.0,179396.0,,,104,5168.0,,72.0,,99.0,100.0,0.4,,2017-11-29T17:57:46.929Z
285959,562.22877,Escherichia coli O25:H1 strain ECO0385,562,WGS,5081788,50.41,9.0,199227.0,,,86,5046.0,,71.0,,99.0,100.0,0.4,,2017-11-29T18:06:48.286Z
285974,562.22508,Escherichia coli O25:H18 strain ECO0081,562,WGS,5174593,50.7,16.0,119309.0,,,152,5140.0,,71.0,,98.7,100.0,0.0,,2017-11-29T17:32:04.067Z
285975,562.22516,Escherichia coli O25:H18 strain ECO0090,562,WGS,5114612,50.67,15.0,106895.0,,,154,5070.0,,65.0,,98.9,100.0,0.0,,2017-11-29T17:32:06.920Z
285981,562.22432,Escherichia coli O25:H4 strain ECO0005,562,WGS,5325326,50.65,13.0,159218.0,,,131,5391.0,,75.0,,98.2,100.0,0.0,,2017-11-29T16:59:27.148Z
285982,562.2244,Escherichia coli O25:H4 strain ECO0013,562,WGS,5014279,50.73,11.0,178565.0,,,72,4960.0,,62.0,,98.2,100.0,0.0,,2017-11-29T16:56:45.833Z
285983,562.22442,Escherichia coli O25:H4 strain ECO0015,562,WGS,5086528,50.7,12.0,173799.0,,,133,5129.0,,68.0,,98.3,100.0,0.0,,2017-11-29T17:04:04.993Z
285984,562.22455,Escherichia coli O25:H4 strain ECO0029,562,WGS,5105361,50.75,13.0,159845.0,,,102,5124.0,,57.0,,98.4,100.0,0.7,,2017-11-29T17:03:59.164Z
285985,562.22465,Escherichia coli O25:H4 strain ECO0036,562,WGS,5095825,50.76,12.0,160044.0,,,89,5114.0,,62.0,,98.4,100.0,0.0,,2017-11-29T16:58:44.815Z
285987,562.22478,Escherichia coli O25:H4 strain ECO0051,562,WGS,5027033,50.79,11.0,180424.0,,,75,5005.0,,61.0,,98.3,100.0,0.0,,2017-11-29T17:16:40.991Z
285988,562.22483,Escherichia coli O25:H4 strain ECO0056,562,WGS,5245777,50.67,11.0,180474.0,,,103,5281.0,,65.0,,98.2,100.0,0.1,,2017-11-29T17:19:53.336Z
285989,562.22488,Escherichia coli O25:H4 strain ECO0061,562,WGS,5214694,50.73,10.0,182006.0,,,107,5250.0,,68.0,,98.4,100.0,0.0,,2017-11-29T17:21:30.187Z
285990,562.22491,Escherichia coli O25:H4 strain ECO0066,562,WGS,5108779,50.81,13.0,159114.0,,,125,5092.0,,65.0,,98.2,100.0,0.0,,2017-11-29T17:24:33.876Z
285991,562.22499,Escherichia coli O25:H4 strain ECO0072,562,WGS,5038357,50.73,12.0,173229.0,,,104,5029.0,,69.0,,98.3,100.0,0.0,,2017-11-29T17:26:28.307Z
285992,562.22514,Escherichia coli O25:H4 strain ECO0087,562,WGS,5179356,50.38,10.0,177730.0,,,86,5198.0,,73.0,,98.2,100.0,0.0,,2017-11-29T17:30:37.569Z
285993,562.22518,Escherichia coli O25:H4 strain ECO0092,562,WGS,5075418,50.8,12.0,165297.0,,,116,5050.0,,64.0,,98.3,100.0,0.0,,2017-11-29T17:24:31.196Z
285994,562.22536,Escherichia coli O25:H4 strain ECO0111,562,WGS,5250393,50.66,12.0,173802.0,,,109,5294.0,,66.0,,98.2,100.0,0.1,,2017-11-29T17:28:05.768Z
285995,562.22539,Escherichia coli O25:H4 strain ECO0114,562,WGS,5114009,50.81,13.0,159842.0,,,111,5093.0,,66.0,,98.3,100.0,0.0,,2017-11-29T17:36:06.237Z
285996,562.22541,Escherichia coli O25:H4 strain ECO0116,562,WGS,5073836,50.8,12.0,173037.0,,,123,5050.0,,64.0,,98.3,100.0,0.0,,2017-11-29T17:37:14.205Z
285997,562.22551,Escherichia coli O25:H4 strain ECO0126,562,WGS,5113868,50.77,11.0,178792.0,,,92,5133.0,,63.0,,98.2,100.0,0.0,,2017-11-29T17:33:14.199Z
285998,562.22555,Escherichia coli O25:H4 strain ECO0130,562,WGS,5124588,50.65,12.0,174423.0,,,80,5112.0,,64.0,,98.2,100.0,0.4,,2017-11-29T17:34:01.600Z
285999,562.22561,Escherichia coli O25:H4 strain ECO0136,562,WGS,5102388,50.76,12.0,166801.0,,,129,5150.0,,67.0,,98.2,100.0,0.0,,2017-11-29T17:33:59.012Z
286000,562.22565,Escherichia coli O25:H4 strain ECO0140,562,WGS,5095403,50.8,12.0,174244.0,,,88,5093.0,,60.0,,98.1,100.0,0.0,,2017-11-29T17:34:59.982Z
286001,562.22588,Escherichia coli O25:H4 strain ECO0163,562,WGS,5123925,50.79,12.0,165175.0,,,109,5128.0,,68.0,,98.3,100.0,0.0,,2017-11-29T17:38:06.763Z
286002,562.22595,Escherichia coli O25:H4 strain ECO0171,562,WGS,5162522,50.74,13.0,159114.0,,,131,5194.0,,68.0,,98.2,100.0,0.0,,2017-11-29T17:44:16.606Z
286003,562.22596,Escherichia coli O25:H4 strain ECO0172,562,WGS,5087917,50.74,13.0,142889.0,,,110,5094.0,,66.0,,98.1,100.0,0.0,,2017-11-29T17:53:16.140Z
286004,562.22597,Escherichia coli O25:H4 strain ECO0173,562,WGS,5135966,50.63,11.0,178677.0,,,117,5172.0,,67.0,,98.4,100.0,0.0,,2017-11-29T17:45:28.516Z
286005,562.22601,Escherichia coli O25:H4 strain ECO0177,562,WGS,5236640,50.69,12.0,159104.0,,,105,5286.0,,69.0,,98.1,100.0,0.1,,2017-11-29T17:47:24.051Z
286006,562.2261,Escherichia coli O25:H4 strain ECO0186,562,WGS,5133907,50.77,11.0,180448.0,,,117,5140.0,,60.0,,98.4,100.0,0.0,,2017-11-29T17:54:18.945Z
286007,562.22611,Escherichia coli O25:H4 strain ECO0187,562,WGS,5135024,50.77,12.0,178678.0,,,117,5142.0,,62.0,,98.3,100.0,0.0,,2017-11-29T17:54:13.795Z
286008,562.2262,Escherichia coli O25:H4 strain ECO0205,562,WGS,5206143,50.68,11.0,174417.0,,,124,5282.0,,62.0,,98.1,100.0,0.0,,2017-11-29T17:52:17.821Z
286009,562.22622,Escherichia coli O25:H4 strain ECO0207,562,WGS,5137248,50.64,10.0,181680.0,,,86,5141.0,,67.0,,98.0,100.0,0.1,,2017-11-29T17:52:23.252Z
286010,562.22626,Escherichia coli O25:H4 strain ECO0211,562,WGS,5145325,50.7,13.0,143076.0,,,103,5179.0,,62.0,,98.3,100.0,0.7,,2017-11-29T17:54:08.109Z
286011,562.2263,Escherichia coli O25:H4 strain ECO0216,562,WGS,5297969,50.55,14.0,123836.0,,,138,5417.0,,64.0,,98.2,100.0,0.0,,2017-11-29T17:53:21.955Z
286012,562.22631,Escherichia coli O25:H4 strain ECO0218,562,WGS,5017710,50.69,10.0,181658.0,,,99,5027.0,,66.0,,98.2,100.0,0.0,,2017-11-29T17:54:16.250Z
286013,562.22635,Escherichia coli O25:H4 strain ECO0222,562,WGS,5103969,50.64,13.0,114683.0,,,116,5134.0,,65.0,,98.4,100.0,0.4,,2017-11-29T17:55:21.487Z
286014,562.22637,Escherichia coli O25:H4 strain ECO0224,562,WGS,5118316,50.56,10.0,208123.0,,,63,5122.0,,65.0,,98.2,100.0,0.4,,2017-11-29T17:55:27.124Z
286015,562.22642,Escherichia coli O25:H4 strain ECO0230,562,WGS,5128917,50.65,13.0,159492.0,,,142,5179.0,,61.0,,97.9,100.0,0.4,,2017-11-29T17:55:57.244Z
286016,562.2265,Escherichia coli O25:H4 strain ECO0237,562,WGS,5193080,50.61,12.0,166923.0,,,110,5272.0,,65.0,,98.1,100.0,1.1,,2017-11-29T17:54:50.962Z
286017,562.22655,Escherichia coli O25:H4 strain ECO0243,562,WGS,5137982,50.78,10.0,178679.0,,,83,5137.0,,65.0,,98.4,100.0,0.0,,2017-11-29T17:57:08.018Z
286018,562.22657,Escherichia coli O25:H4 strain ECO0244,562,WGS,5086060,50.71,12.0,171954.0,,,89,5084.0,,65.0,,98.2,100.0,0.0,,2017-11-29T17:56:21.280Z
286019,562.22669,Escherichia coli O25:H4 strain ECO0257,562,WGS,5080577,50.8,12.0,165175.0,,,135,5068.0,,68.0,,98.4,100.0,0.0,,2017-11-29T17:58:35.275Z
286020,562.2267,Escherichia coli O25:H4 strain ECO0258,562,WGS,5056188,50.51,10.0,180446.0,,,71,5001.0,,62.0,,98.4,100.0,0.7,,2017-11-29T17:56:47.181Z
286021,562.22671,Escherichia coli O25:H4 strain ECO0259,562,WGS,5415805,50.4,11.0,162585.0,,,114,5576.0,,67.0,,98.9,100.0,0.0,,2017-11-29T17:56:50.267Z
286022,562.2268,Escherichia coli O25:H4 strain ECO0270,562,WGS,5220420,50.68,12.0,167915.0,,,106,5264.0,,66.0,,98.2,100.0,0.1,,2017-11-29T17:59:00.556Z
286023,562.22694,Escherichia coli O25:H4 strain ECO0282,562,WGS,5043057,50.81,12.0,180449.0,,,92,5027.0,,63.0,,98.3,100.0,0.4,,2017-11-29T17:59:11.020Z
286024,562.23792,Escherichia coli O25:H4 strain ECO0296,562,WGS,5025551,50.76,11.0,178774.0,,,81,5017.0,,61.0,,98.0,100.0,0.0,,2017-11-29T19:13:20.283Z
286025,562.23791,Escherichia coli O25:H4 strain ECO0297,562,WGS,4961100,50.77,12.0,173928.0,,,72,4914.0,,65.0,,98.4,100.0,0.0,,2017-11-29T19:13:15.013Z
286026,562.22717,Escherichia coli O25:H4 strain ECO0302,562,WGS,5221330,50.67,12.0,159742.0,,,128,5267.0,,62.0,,98.4,100.0,0.0,,2017-11-29T18:00:01.332Z
286027,562.22718,Escherichia coli O25:H4 strain ECO0304,562,WGS,5283862,50.57,11.0,173826.0,,,97,5372.0,,70.0,,97.8,100.0,0.0,,2017-11-29T18:00:14.598Z
286028,562.22733,Escherichia coli O25:H4 strain ECO0322,562,WGS,5043595,50.73,11.0,173928.0,,,90,4994.0,,61.0,,98.3,100.0,0.0,,2017-11-29T18:00:53.671Z
286030,562.22754,Escherichia coli O25:H4 strain ECO0345,562,WGS,5310967,50.63,14.0,161428.0,,,123,5442.0,,63.0,,98.3,100.0,0.0,,2017-11-29T18:03:44.187Z
286031,562.22762,Escherichia coli O25:H4 strain ECO0353,562,WGS,4921007,50.6,10.0,180448.0,,,100,4872.0,,68.0,,98.9,100.0,0.0,,2017-11-29T18:01:22.683Z
286032,562.22766,Escherichia coli O25:H4 strain ECO0357,562,WGS,5190738,50.6,9.0,178191.0,,,127,5300.0,,66.0,,99.0,100.0,0.0,,2017-11-29T18:02:57.984Z
286033,562.22768,Escherichia coli O25:H4 strain ECO0359,562,WGS,5171292,50.72,11.0,182783.0,,,99,5223.0,,62.0,,98.3,100.0,0.0,,2017-11-29T18:02:18.263Z
286034,562.22773,Escherichia coli O25:H4 strain ECO0365,562,WGS,5093473,50.68,12.0,175086.0,,,80,5076.0,,67.0,,98.4,100.0,0.0,,2017-11-29T18:02:24.232Z
286035,562.22783,Escherichia coli O25:H4 strain ECO0381,562,WGS,5066238,50.79,13.0,159114.0,,,128,5044.0,,59.0,,98.3,100.0,0.4,,2017-11-29T18:03:00.528Z
286036,562.22784,Escherichia coli O25:H4 strain ECO0382,562,WGS,5130459,50.51,9.0,198134.0,,,77,5103.0,,59.0,,98.2,100.0,0.0,,2017-11-29T18:02:46.039Z
286037,562.22878,Escherichia coli O25:H4 strain ECO0387,562,WGS,5100206,50.67,13.0,161700.0,,,79,5086.0,,62.0,,98.4,100.0,0.4,,2017-11-29T18:06:01.788Z
286038,562.22879,Escherichia coli O25:H4 strain ECO0392,562,WGS,5082353,50.52,12.0,131811.0,,,94,4986.0,,71.0,,99.3,100.0,0.0,,2017-11-29T18:06:45.574Z
286039,562.22797,Escherichia coli O25:H4 strain ECO0395,562,WGS,5112499,50.72,12.0,163754.0,,,94,5153.0,,59.0,,98.4,100.0,0.0,,2017-11-29T18:03:52.457Z
286040,562.22806,Escherichia coli O25:H4 strain ECO0404,562,WGS,5130189,50.77,12.0,159741.0,,,101,5180.0,,62.0,,98.3,100.0,0.0,,2017-11-29T18:04:05.871Z
286041,562.22811,Escherichia coli O25:H4 strain ECO0407,562,WGS,5117190,50.7,13.0,159842.0,,,119,5153.0,,66.0,,98.2,100.0,0.0,,2017-11-29T18:07:25.277Z
286042,562.22813,Escherichia coli O25:H4 strain ECO0411,562,WGS,5208066,50.74,14.0,144251.0,,,130,5246.0,,71.0,,98.0,100.0,0.0,,2017-11-29T18:07:36.430Z
286044,562.22821,Escherichia coli O25:H4 strain ECO0420,562,WGS,5184716,50.77,12.0,163962.0,,,104,5251.0,,60.0,,98.3,100.0,0.0,,2017-11-29T18:04:54.084Z
286045,562.22822,Escherichia coli O25:H4 strain ECO0422,562,WGS,5333454,50.65,14.0,165377.0,,,119,5488.0,,64.0,,98.3,100.0,0.0,,2017-11-29T18:05:15.394Z
286699,562.22692,Escherichia coli O26:H27 strain ECO0283,562,WGS,4758848,50.74,12.0,119541.0,,,116,4646.0,,65.0,,99.5,100.0,0.0,,2017-11-29T17:57:58.104Z
286700,562.22643,Escherichia coli O26:H30 strain ECO0227,562,WGS,4784379,50.66,10.0,187104.0,,,65,4584.0,,60.0,,99.6,100.0,0.0,,2017-11-29T17:53:00.671Z
286714,562.22428,Escherichia coli O2:H1 strain ECO0001,562,WGS,4739201,50.65,6.0,297125.0,,,37,4629.0,,66.0,,98.8,100.0,0.7,,2017-11-29T16:59:11.726Z
286715,562.22444,Escherichia coli O2:H1 strain ECO0017,562,WGS,4999725,50.43,8.0,192376.0,,,88,4921.0,,63.0,,98.7,100.0,0.0,,2017-11-29T16:59:22.029Z
286716,562.22446,Escherichia coli O2:H1 strain ECO0019,562,WGS,5064741,50.42,9.0,202446.0,,,111,5025.0,,71.0,,98.8,100.0,0.1,,2017-11-29T16:59:24.698Z
286717,562.22572,Escherichia coli O2:H1 strain ECO0147,562,WGS,5037268,50.51,9.0,186575.0,,,89,5026.0,,72.0,,99.0,100.0,0.4,,2017-11-29T17:44:19.088Z
286718,562.22613,Escherichia coli O2:H1 strain ECO0189,562,WGS,5144662,50.38,10.0,182538.0,,,111,5177.0,,74.0,,99.0,100.0,0.0,,2017-11-29T17:55:24.254Z
286719,562.22644,Escherichia coli O2:H1 strain ECO0231,562,WGS,5167760,50.44,11.0,179415.0,,,111,5185.0,,71.0,,98.8,100.0,0.4,,2017-11-29T17:53:25.201Z
286720,562.22683,Escherichia coli O2:H1 strain ECO0272,562,WGS,5231443,50.38,10.0,182622.0,,,125,5292.0,,72.0,,98.7,100.0,0.4,,2017-11-29T17:57:52.108Z
286721,562.22686,Escherichia coli O2:H1 strain ECO0276,562,WGS,5101249,50.46,10.0,179415.0,,,107,5104.0,,65.0,,98.8,100.0,0.4,,2017-11-29T17:58:00.638Z
286722,562.22787,Escherichia coli O2:H1 strain ECO0376,562,WGS,5210378,50.39,11.0,179286.0,,,128,5255.0,,68.0,,99.0,100.0,0.0,,2017-11-29T18:01:42.026Z
286723,562.22812,Escherichia coli O2:H1 strain ECO0409,562,WGS,5232185,50.44,11.0,179415.0,,,122,5265.0,,70.0,,99.0,100.0,0.0,,2017-11-29T18:07:30.884Z
286756,562.22477,Escherichia coli O2:H14 strain ECO0050,562,WGS,4976263,50.54,9.0,185290.0,,,62,4908.0,,65.0,,99.0,99.3,0.0,,2017-11-29T17:04:10.524Z
286757,562.22529,Escherichia coli O2:H18 strain ECO0104,562,WGS,5131819,50.68,13.0,125156.0,,,118,5074.0,,69.0,,98.7,100.0,1.5,,2017-11-29T17:25:54.047Z
286758,562.22679,Escherichia coli O2:H18 strain ECO0269,562,WGS,5086140,50.45,15.0,92265.0,,,128,5053.0,,66.0,,98.3,100.0,1.5,,2017-11-29T17:57:41.668Z
286760,562.22507,Escherichia coli O2:H4 strain ECO0080,562,WGS,5273742,50.52,17.0,75542.0,,,156,5316.0,,68.0,,98.8,100.0,0.0,,2017-11-29T17:29:16.535Z
286761,562.2252,Escherichia coli O2:H4 strain ECO0094,562,WGS,5257206,50.5,16.0,104287.0,,,203,5343.0,,75.0,,98.9,100.0,0.0,,2017-11-29T17:32:12.398Z
286762,562.22538,Escherichia coli O2:H4 strain ECO0113,562,WGS,5021427,50.67,9.0,172718.0,,,89,4977.0,,67.0,,99.0,100.0,0.7,,2017-11-29T17:28:03.120Z
286763,562.22564,Escherichia coli O2:H4 strain ECO0139,562,WGS,5018502,50.63,10.0,172388.0,,,101,4988.0,,67.0,,99.0,100.0,0.7,,2017-11-29T17:38:09.821Z
286764,562.22617,Escherichia coli O2:H4 strain ECO0202,562,WGS,5071440,50.65,9.0,172606.0,,,96,5050.0,,61.0,,98.9,100.0,0.7,,2017-11-29T17:55:51.969Z
286765,562.22632,Escherichia coli O2:H4 strain ECO0217,562,WGS,5131280,50.37,9.0,189323.0,,,139,5242.0,,66.0,,99.0,100.0,0.4,,2017-11-29T17:53:13.543Z
286766,562.22647,Escherichia coli O2:H4 strain ECO0235,562,WGS,5123324,50.48,10.0,154102.0,,,114,5180.0,,65.0,,98.7,100.0,0.7,,2017-11-29T17:56:04.236Z
286767,562.23867,Escherichia coli O2:H4 strain ECO0298,562,WGS,4992312,50.68,10.0,167325.0,,,107,5000.0,,65.0,,99.0,100.0,0.7,,2017-11-29T19:17:15.265Z
286768,562.22721,Escherichia coli O2:H4 strain ECO0308,562,WGS,5131676,50.48,10.0,136587.0,,,115,5208.0,,65.0,,98.7,100.0,0.4,,2017-11-29T18:00:11.921Z
286769,562.22727,Escherichia coli O2:H4 strain ECO0314,562,WGS,5103429,50.64,10.0,159678.0,,,103,5144.0,,66.0,,98.9,100.0,0.7,,2017-11-29T18:00:42.800Z
286770,562.22728,Escherichia coli O2:H4 strain ECO0315,562,WGS,5209431,50.69,12.0,150981.0,,,138,5269.0,,64.0,,99.0,100.0,0.7,,2017-11-29T18:00:33.499Z
286771,562.22737,Escherichia coli O2:H4 strain ECO0327,562,WGS,5306516,50.54,15.0,92194.0,,,174,5356.0,,71.0,,98.8,100.0,0.0,,2017-11-29T18:02:03.489Z
286772,562.22767,Escherichia coli O2:H4 strain ECO0358,562,WGS,5211053,50.52,10.0,162928.0,,,117,5332.0,,66.0,,98.6,100.0,0.4,,2017-11-29T18:02:40.637Z
286806,562.22658,Escherichia coli O2:H6 strain ECO0245,562,WGS,4967041,50.66,7.0,269064.0,,,51,4875.0,,70.0,,98.7,100.0,0.4,,2017-11-29T17:57:36.193Z
286807,562.22715,Escherichia coli O2:H6 strain ECO0300,562,WGS,5114939,50.66,8.0,215149.0,,,67,5048.0,,62.0,,98.6,100.0,0.0,,2017-11-29T17:59:58.669Z
286808,562.22771,Escherichia coli O2:H6 strain ECO0362,562,WGS,5127472,50.52,9.0,198576.0,,,91,5050.0,,65.0,,98.4,100.0,0.0,,2017-11-29T18:02:21.158Z
286832,562.22451,Escherichia coli O2:H7 strain ECO0023,562,WGS,5090818,50.47,8.0,189331.0,,,63,5094.0,,67.0,,98.8,100.0,0.0,,2017-11-29T16:56:56.340Z
286833,562.22509,Escherichia coli O2:H7 strain ECO0082,562,WGS,5101140,50.51,8.0,189254.0,,,96,5163.0,,65.0,,98.8,100.0,0.1,,2017-11-29T17:29:47.208Z
286834,562.22513,Escherichia coli O2:H7 strain ECO0086,562,WGS,5061046,50.3,10.0,166969.0,,,108,5029.0,,68.0,,99.3,100.0,0.4,,2017-11-29T17:31:27.373Z
286835,562.22557,Escherichia coli O2:H7 strain ECO0131,562,WGS,5071380,50.59,8.0,189510.0,,,74,5047.0,,67.0,,99.0,100.0,0.0,,2017-11-29T17:37:52.972Z
286836,562.22566,Escherichia coli O2:H7 strain ECO0141,562,WGS,5299677,50.57,9.0,172655.0,,,115,5372.0,,71.0,,99.0,100.0,0.0,,2017-11-29T17:35:02.916Z
286837,562.22571,Escherichia coli O2:H7 strain ECO0146,562,WGS,5065823,50.34,8.0,203755.0,,,102,5020.0,,68.0,,99.3,100.0,0.7,,2017-11-29T17:43:50.305Z
286838,562.22593,Escherichia coli O2:H7 strain ECO0169,562,WGS,5153842,50.24,9.0,162927.0,,,123,5167.0,,69.0,,99.3,100.0,0.7,,2017-11-29T17:44:13.565Z
286839,562.22648,Escherichia coli O2:H7 strain ECO0234,562,WGS,5193470,50.67,8.0,202706.0,,,82,5269.0,,67.0,,98.8,100.0,0.1,,2017-11-29T17:54:05.667Z
286840,562.2273,Escherichia coli O2:H7 strain ECO0317,562,WGS,5244839,50.64,11.0,173996.0,,,102,5341.0,,66.0,,99.1,100.0,0.0,,2017-11-29T18:00:56.158Z
286841,562.22789,Escherichia coli O2:H7 strain ECO0380,562,WGS,5228333,50.63,8.0,203862.0,,,74,5247.0,,58.0,,99.0,100.0,0.0,,2017-11-29T18:01:55.533Z
286842,562.22805,Escherichia coli O2:H7 strain ECO0403,562,WGS,5073853,50.49,8.0,189395.0,,,64,5065.0,,70.0,,98.9,100.0,0.0,,2017-11-29T18:04:08.670Z
286843,562.22808,Escherichia coli O2:H7 strain ECO0406,562,WGS,5242843,50.43,8.0,189968.0,,,82,5296.0,,67.0,,98.7,100.0,0.1,,2017-11-29T18:04:13.935Z
286868,562.22496,Escherichia coli O2:H9 strain ECO0069,562,WGS,5608365,50.4,21.0,91562.0,,,215,5767.0,,68.0,,98.4,100.0,0.0,,2017-11-29T17:27:02.223Z
286904,562.22776,Escherichia coli O39:H4 strain ECO0370,562,WGS,4907236,50.59,10.0,194131.0,,,74,4823.0,,61.0,,99.3,100.0,0.4,,2017-11-29T18:02:29.834Z
